Freq	to_id	from_id
86	to_132	from_77
86	to_132	from_48
75	to_133	from_3
75	to_133	from_39
75	to_133	from_32
75	to_133	from_12
75	to_133	from_10
75	to_133	from_13
75	to_133	from_41
75	to_133	from_51
75	to_133	from_34
75	to_133	from_36
75	to_133	from_2
36	to_134	from_17
36	to_134	from_40
36	to_134	from_34
36	to_134	from_7
36	to_134	from_3
36	to_134	from_39
36	to_134	from_72
36	to_134	from_35
36	to_134	from_15
36	to_135	from_35
36	to_135	from_14
36	to_135	from_34
36	to_135	from_3
36	to_135	from_4
36	to_135	from_17
36	to_135	from_32
36	to_135	from_39
36	to_135	from_2
43	to_136	from_15
43	to_136	from_4
43	to_136	from_2
47	to_137	from_17
47	to_137	from_2
47	to_137	from_39
47	to_137	from_28
47	to_137	from_5
47	to_137	from_31
47	to_137	from_35
47	to_137	from_6
47	to_137	from_4
47	to_137	from_53
47	to_137	from_7
47	to_137	from_50
47	to_137	from_48
40	to_138	from_31
40	to_138	from_34
40	to_138	from_6
40	to_138	from_32
40	to_138	from_5
40	to_138	from_10
40	to_138	from_38
40	to_138	from_2
40	to_138	from_15
40	to_138	from_35
40	to_138	from_7
40	to_138	from_50
40	to_138	from_3
40	to_138	from_13
37	to_139	from_17
37	to_139	from_43
37	to_139	from_36
37	to_139	from_7
37	to_139	from_13
37	to_140	from_12
37	to_140	from_7
37	to_140	from_3
37	to_140	from_14
60	to_141	from_15
60	to_141	from_16
60	to_141	from_6
60	to_141	from_5
60	to_141	from_7
60	to_141	from_17
60	to_141	from_8
60	to_141	from_28
33	to_142	from_26
33	to_142	from_3
33	to_142	from_37
33	to_142	from_4
33	to_142	from_20
33	to_142	from_11
33	to_142	from_69
33	to_142	from_38
33	to_143	from_41
44	to_144	from_35
44	to_144	from_10
44	to_144	from_51
48	to_145	from_61
48	to_145	from_32
33	to_146	from_41
33	to_146	from_94
33	to_147	from_43
33	to_147	from_40
33	to_147	from_6
33	to_147	from_17
33	to_147	from_3
33	to_147	from_39
30	to_148	from_95
43	to_149	from_96
38	to_150	from_58
38	to_150	from_17
